診療科,医師,件数 [件],保険点数 [点],患者負担金額 [円],保険外金額 [円],医院負担金額 [円],減免額 [円],未収金額 [円],請求金額合計 [円],領収金額 [円]
耳鼻咽喉科,藤本　裕幸,48,30427,53580,0,0,0,0,53580,53580
,本田　徹,0,-80,0,0,0,0,0,0,0
,小島　綾乃,48,35404,61710,0,0,0,0,61710,61710
,前田　宗伯,2310,1368038,2133082,56290,0,0,540,2189372,2188832
,遠山　佐喜恵,143,88544,153370,4120,0,0,0,157490,157490
 ,小計(診療科),2549,1522333,2401742,60410,0,0,540,2462152,2461612
,合 計,2549,1522333,2401742,60410,0,0,540,2462152,2461612
