診療科,医師,件数 [件],保険点数 [点],患者負担金額 [円],保険外金額 [円],医院負担金額 [円],減免額 [円],未収金額 [円],請求金額合計 [円],領収金額 [円]
耳鼻咽喉科,浅井　淨二,92,52781,84140,100,0,0,0,84240,84240
,藤本　裕幸,509,260841,386420,100,0,0,540,386520,385980
,花井　伽奈子,692,306034,386260,12320,0,0,0,398580,398580
,本田　徹,87,36842,49150,0,0,0,0,49150,49150
,前田　宗伯,2843,1432862,2025770,62670,380,0,2460,2088820,2085980
,遠山　佐喜恵,78,39703,63100,0,0,0,0,63100,63100
 ,小計(診療科),4301,2129063,2994840,75190,380,0,3000,3070410,3067030
,合 計,4301,2129063,2994840,75190,380,0,3000,3070410,3067030
